,Molecule List Name,Molecule,Formula,Adduct,Precursor Charge,PrecursorMz,Product Charge,CCS
2126,AminoAcids,L-Glutamine,C5H10N2O3,[M+H]+,1.0,147.0764,1.0,130.9
2127,AminoAcids,L-Glutamine,C5H10N2O3,[M+Na]+,1.0,169.0584,1.0,133.7
2131,AminoAcids,L-Glutamine,C5H10N2O3,[M+NH4]+,1.0,164.103,1.0,134.0
2132,AminoAcids,L-Glutamine,C5H10N2O3,[M-H2O+H]+,1.0,129.0658,1.0,131.1
2174,Other,L-Histidinol,C6H11N3O,[M+H]+,1.0,142.0975,1.0,129.2
2175,Other,L-Histidinol,C6H11N3O,[M+Na]+,1.0,164.0795,1.0,133.5
2310,Other,L-Homoserine,C4H9NO3,[M+H]+,1.0,120.0655,1.0,126.2
692,Other,L-Iditol,C6H14O6,[M+Na]+,1.0,205.0683,1.0,143.1
2136,AminoAcids,L-Leucine,C6H13NO2,[M+H]+,1.0,132.1019,1.0,135.0
2139,AminoAcids,L-Leucine,C6H13NO2,[M+Na]+,1.0,154.0839,1.0,139.7
2140,AminoAcids,L-Leucine,C6H13NO2,[M+NH4]+,1.0,149.1285,1.0,138.2
2141,AminoAcids,L-Leucine,C6H13NO2,[M-H2O+H]+,1.0,114.0913,1.0,127.9
2200,AminoAcids,L-Lysine,C6H14N2O2,[M+H]+,1.0,147.1128,1.0,131.3
2201,AminoAcids,L-Lysine,C6H14N2O2,[M+Na]+,1.0,169.0948,1.0,134.9
