Group 1,Group 2,Metabolite,U_stat,raw_p_value,corrected_p_value,Significant
None,PosHigh,Alpha-D-Glucose [[M+Na]],77.0,0.12300420129993378,0.714822178852094,False
None,PosHigh,Aminoadipate [[M+Na]],54.0,0.9711146402980123,1.0,False
None,PosHigh,Argininosuccinic acid [[M+H]],31.0,0.09796098392599256,0.714822178852094,False
None,PosHigh,Biotin [[M+H]],57.0,0.9157693908870916,1.0,False
None,PosHigh,Choline [[M+H]],62.0,0.6119910247917966,0.9136324770794363,False
None,PosHigh,Cytidine [[M+H]],47.5,0.601905026704121,0.9136324770794363,False
None,PosHigh,D-(+)-Melibiose [[M+K]],49.0,0.6445013398391859,0.9136324770794363,False
None,PosHigh,D-(+)-Turanose [[M+Na]],70.0,0.2578359618356302,0.7432157756691988,False
None,PosHigh,D-Fructose [[M+Na]],83.5,0.04609792071052636,0.6510131840820828,False
None,PosHigh,D-Galactose [[M+Na]],83.5,0.04609792071052636,0.6510131840820828,False
None,PosHigh,D-Glucose [[M+Na]],77.0,0.12300420129993378,0.714822178852094,False
None,PosHigh,Deoxyadenosine [[M+H]],40.0,0.3040651886191388,0.7571739248224143,False
None,PosHigh,Galactose [[M+Na]],83.5,0.04609792071052636,0.6510131840820828,False
None,PosHigh,Glucosamine [[M+H]],58.0,0.8602588271965479,0.9831529453674833,False
None,PosHigh,Glutamic Acid [[M-H2O+H]],80.0,0.08448458362150606,0.714822178852094,False
None,PosHigh,Glutathione [[M+H]],46.0,0.549471691823942,0.8836864322117004,False
None,PosHigh,Histidine [[M+H]],89.5,0.016621017764398168,0.43214646187435235,False
None,PosHigh,Imidazoleacetic acid [[M+H]],45.0,0.5007204616793286,0.8727588314055371,False
None,PosHigh,Inositol [[M+Na]],71.0,0.2661896061284953,0.7432157756691988,False
None,PosHigh,Isomaltose [[M+Na]],70.0,0.2578359618356302,0.7432157756691988,False
None,PosHigh,L-Arginine [[M+H]],3.0,0.0002872657232398233,0.018990962225625393,True
None,PosHigh,L-Citrulline [[M+H]],36.0,0.19266669599887198,0.7421235697734327,False
None,PosHigh,L-Lysine [[M+H]],39.5,0.28530414475441146,0.7571739248224143,False
None,PosHigh,L-Threonine [[M+NH4]],34.5,0.15426137451099547,0.7253194025893683,False
None,PosHigh,Linoleic acid [[M+Na]],70.5,0.2892745404511746,0.7571739248224143,False
None,PosHigh,Maltose [[M+K]],49.0,0.6445013398391859,0.9136324770794363,False
None,PosHigh,N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],44.0,0.459525803069345,0.8727588314055371,False
None,PosHigh,N2-Acetyl-L-ornithine [[M+H]],1.0,0.00016498530087593564,0.018990962225625393,True
None,PosHigh,Nicotinamide [[M+H]],40.0,0.3072263700681952,0.7571739248224143,False
None,PosHigh,Oleic acid [[M+Na]],66.0,0.4596715909585638,0.8727588314055371,False
None,PosHigh,P-Hydroxybenzoic Acid [[M-H2O+H]],28.0,0.06203104181536411,0.6673684498756415,False
None,PosHigh,Palatinose [[M+K]],49.0,0.6445013398391859,0.9136324770794363,False
None,PosHigh,Phenylethyl alcohol [[M+H]],64.0,0.549471691823942,0.8836864322117004,False
None,PosHigh,Pidolic Acid [[M+H]],82.0,0.06203104181536411,0.6673684498756415,False
None,PosHigh,Proline [[M+NH4]],40.0,0.2426279985476698,0.7432157756691988,False
None,PosHigh,Sucrose [[M+K]],54.0,0.964795405846714,1.0,False
None,PosHigh,Thymine [[M+H]],41.5,0.35666495132872744,0.7864451507516957,False
