Name,Monoisotopic Mass,InChI Key,Chemical Formula,CCS Type,Adduct Type,Data Source / Predictor,m/z,CCS Value (Å²),Reference
Leucine,131.094628665,[M+H]+,Predicted,DarkChem,132.10190466499998,129.242,31661259,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2
Leucine,131.094628665,[M-H]-,Predicted,DarkChem,130.087352665,124.628,31661259,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2
Leucine,131.094628665,[M+H]+,Predicted,AllCCS,132.10190466499998,132.017,32859911,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2
Leucine,131.094628665,[M-H]-,Predicted,AllCCS,130.087352665,130.03,32859911,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2
Leucine,131.094628665,[M+H]+,Predicted,DeepCCS,132.10190466499998,129.797,30932474,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2
Leucine,131.094628665,[M-H]-,Predicted,DeepCCS,130.087352665,126.152,30932474,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2
Leucine,131.094628665,[M-2H]-,Predicted,DeepCCS,65.0436763325,163.521,30932474,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2
Leucine,131.094628665,[M+Na]+,Predicted,DeepCCS,154.08384666499998,138.674,30932474,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2
Leucine,131.094628665,[M+H]+,Predicted,AllCCS,132.10190466499998,132.0,32859911,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2
Leucine,131.094628665,[M+H-H2O]+,Predicted,AllCCS,114.09133966499999,127.9,32859911,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2
Leucine,131.094628665,[M+NH4]+,Predicted,AllCCS,149.128451665,135.8,32859911,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2
Leucine,131.094628665,[M+Na]+,Predicted,AllCCS,154.08384666499998,136.9,32859911,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2
Leucine,131.094628665,[M-H]-,Predicted,AllCCS,130.087352665,130.0,32859911,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2
Leucine,131.094628665,[M+Na-2H]-,Predicted,AllCCS,152.06929466499997,132.9,32859911,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2
Leucine,131.094628665,[M+HCOO]-,Predicted,AllCCS,176.09282966499998,136.0,32859911,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2
Lysine,146.105527702,[M+H]+,Predicted,DarkChem,147.11280370199998,133.394,31661259,KDXKERNSBIXSRK-YFKPBYRVSA-N,C6H14N2O2
Lysine,146.105527702,[M+H]+,Predicted,DarkChem,147.11280370199998,133.394,31661259,KDXKERNSBIXSRK-YFKPBYRVSA-N,C6H14N2O2
Lysine,146.105527702,[M+H]+,Predicted,DarkChem,147.11280370199998,133.394,31661259,KDXKERNSBIXSRK-YFKPBYRVSA-N,C6H14N2O2
Lysine,146.105527702,[M-H]-,Predicted,DarkChem,145.098251702,130.288,31661259,KDXKERNSBIXSRK-YFKPBYRVSA-N,C6H14N2O2
Lysine,146.105527702,[M-H]-,Predicted,DarkChem,145.098251702,130.288,31661259,KDXKERNSBIXSRK-YFKPBYRVSA-N,C6H14N2O2
Lysine,146.105527702,[M-H]-,Predicted,DarkChem,145.098251702,130.288,31661259,KDXKERNSBIXSRK-YFKPBYRVSA-N,C6H14N2O2
