	HMDB
YMDB16083	
YMDB16084	
YMDB16085	
YMDB16086	
YMDB16087	
YMDB16088	
YMDB16089	
YMDB16090	
YMDB16091	
YMDB16092	
YMDB16093	
YMDB16094	
YMDB16095	
YMDB16096	
YMDB16097	
YMDB16098	
YMDB16099	
YMDB16100	
YMDB16101	
YMDB16102	
YMDB16103	
YMDB16104	
YMDB16105	
YMDB16106	
YMDB16107	
YMDB16108	
YMDB16109	
