,Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,CCS
352,CCS Compendium-8,Deoxycytidine,C9H13N3O4,[M+K]+,1.0,266.0527,1.0,158.5
353,CCS Compendium-78,Deoxycytidine,C9H13N3O4,[M+Na]+,1.0,250.0771,1.0,156.1
355,CCS Compendium-8,Deoxyguanosine,C10H13N5O4,[M+K]+,1.0,306.0588,1.0,171.6
356,CCS Compendium-8,Deoxyguanosine,C10H13N5O4,[M+Na]+,1.0,290.0861,1.0,171.8
358,CCS Compendium-78,Thymidine,C10H14N2O5,[M+Na]+,1.0,265.0796,1.0,161.2
360,CCS Compendium-8,Guanosine,C10H13N5O5,[M+K]+,1.0,322.0539,1.0,174.3
361,CCS Compendium-78,Guanosine,C10H13N5O5,[M+H]+,1.0,284.0977,1.0,163.5
362,CCS Compendium-78,Guanosine,C10H13N5O5,[M+Na]+,1.0,306.0813,1.0,175.3
363,CCS Compendium-7,Inosine,C10H12N4O5,[M+H]+,1.0,269.0886,1.0,158.2
364,CCS Compendium-8,Inosine,C10H12N4O5,[M+K]+,1.0,307.043,1.0,170.3
366,CCS Compendium-78,Inosine,C10H12N4O5,[M+Na]+,1.0,291.071,1.0,172.1
368,CCS Compendium-8,Xanthosine,C10H12N4O6,[M+H]+,1.0,285.0805,1.0,162.1
369,CCS Compendium-8,Xanthosine,C10H12N4O6,[M+K]+,1.0,323.0359,1.0,172.9
370,CCS Compendium-8,Xanthosine,C10H12N4O6,[M+Na]+,1.0,307.0624,1.0,173.4
373,CCS Compendium-7,Riboflavin,C17H20N4O6,[M+Na]+,1.0,399.128,1.0,198.1
375,CCS Compendium-78,Riboflavin,C17H20N4O6,[M+H]+,1.0,377.1433,1.0,189.7
378,CCS Compendium-78,Hypoxanthine,C5H4N4O,[M+H]+,1.0,137.0461,1.0,130.5
379,CCS Compendium-78,Hypoxanthine,C5H4N4O,[M+Na]+,1.0,159.0272,1.0,135.9
384,CCS Compendium-8,AICAR,C9H15N4O8P,[M+H]+,1.0,339.0708,1.0,171.9
385,CCS Compendium-8,AICAR,C9H15N4O8P,[M+Na]+,1.0,361.0504,1.0,168.9
386,CCS Compendium-8,Indoleacetic acid,C10H9NO2,[M+Na]+,1.0,198.0532,1.0,143.6
387,CCS Compendium-78,Indoleacetic acid,C10H9NO2,[M+H]+,1.0,176.072,1.0,136.4
389,CCS Compendium-8,Tryptophol,C10H11NO,[M+H]+,1.0,162.0912,1.0,133.8
390,CCS Compendium-1,,C12H22O11,[M+K]+,1.0,381.0799,1.0,181.9
391,CCS Compendium-1,,C12H22O11,[M+Na]+,1.0,365.11,1.0,179.7
393,CCS Compendium-8,L-Arabitol,C5H12O5,[M+Na]+,1.0,175.0577,1.0,136.0
396,CCS Compendium-6,L-Arginine,C6H14N4O2,[M+H]+,1.0,175.119,1.0,136.6
397,CCS Compendium-78,L-Arginine,C6H14N4O2,[M+H]+,1.0,175.1174,1.0,136.3
398,CCS Compendium-8,L-Arginine,C6H14N4O2,[M+Na]+,1.0,197.1,1.0,147.9
399,CCS Compendium-8,Cytosine,C4H5N3O,[M+H]+,1.0,112.0509,1.0,117.4
400,CCS Compendium-8,Cytosine,C4H5N3O,[M+H]+,1.0,112.0509,1.0,122.6
401,CCS Compendium-8,O-Acetylserine,C5H9NO4,[M+H]+,1.0,148.0602,1.0,130.5
403,CCS Compendium-8,Sorbitol,C6H14O6,[M+Na]+,1.0,205.0686,1.0,143.1
404,CCS Compendium-8,,C6H12O6,[M+Na]+,1.0,203.0529,1.0,141.7
407,CCS Compendium-7,Palmitoleic acid,C16H30O2,[M+Na]+,1.0,277.2143,1.0,171.5
410,CCS Compendium-7,Stearic acid,C18H36O2,[M+Na]+,1.0,307.2613,1.0,190.6
414,CCS Compendium-7,Tetracosanoic acid,C24H48O2,[M+Na]+,1.0,391.3552,1.0,215.5
415,CCS Compendium-8,Lipoamide,C8H15NOS2,[M+Na]+,1.0,228.0482,1.0,150.6
416,CCS Compendium-78,Guanine,C5H5N5O,[M+H]+,1.0,152.0562,1.0,131.0
417,CCS Compendium-8,Guanine,C5H5N5O,[M+K]+,1.0,190.0121,1.0,136.2
418,CCS Compendium-8,Guanine,C5H5N5O,[M+Na]+,1.0,174.038,1.0,137.7
420,CCS Compendium-7,Methylhistidine,C7H11N3O2,[M+H]+,1.0,170.0929,1.0,135.7
422,CCS Compendium-8,Mevalonic acid,C6H12O4,[M+Na]+,1.0,171.062,1.0,132.9
424,CCS Compendium-8,Itaconic acid,C5H6O4,[M+Na]+,1.0,153.0154,1.0,131.9
426,CCS Compendium-8,4-Hydroxyproline,C5H9NO3,[M+Na]+,1.0,154.0466,1.0,139.4
427,CCS Compendium-78,4-Hydroxyproline,C5H9NO3,[M+H]+,1.0,132.064,1.0,127.9
429,CCS Compendium-7,Leukotriene B4,C20H32O4,[M+Na]+,1.0,359.2198,1.0,194.8
430,CCS Compendium-8,N-Acetylputrescine,C6H14N2O,[M+H]+,1.0,131.1179,1.0,128.4
431,CCS Compendium-8,N-Acetylputrescine,C6H14N2O,[M+Na]+,1.0,153.0998,1.0,134.3
