Well	Plate_ID	Group	Control	Flag	Subset	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change
H3	20241010_hplc_growth_experiment	1	0	0	1	0.1476	0.1229	0.2207333333333333	0.16153333333333336	
H4	20241010_hplc_growth_experiment	1	0	0	1	0.12893333333333334	0.1082666666666667	0.1886	0.13843333333333335	
H5	20241010_hplc_growth_experiment	1	0	0	1	0.1638	0.1474	0.2646000000000001	0.18139444444444447	
H6	20241010_hplc_growth_experiment	1	0	0	1	0.1643	0.14069999999999994	0.2564	0.17822777777777782	
H7	20241010_hplc_growth_experiment	1	0	0	1	0.005599999999999994	0.005599999999999994	0.020233333333333357	0.012361111111111116	
H8	20241010_hplc_growth_experiment	1	0	0	1	0.1532	0.14459999999999998	0.24390000000000006	0.17347777777777781	
H9	20241010_hplc_growth_experiment	1	0	0	1	0.16749999999999998	0.16019999999999998	0.3257	0.20614444444444446	
H10	20241010_hplc_growth_experiment	1	0	0	1	0.14753333333333335	0.13573333333333334	0.3893	0.20531666666666665	
H11	20241010_hplc_growth_experiment	1	0	0	1	0.14893333333333336	0.12633333333333333	0.2109	0.16348333333333334	
H12	20241010_hplc_growth_experiment	1	0	0	1	-0.007566666666666651	-0.007566666666666651	0.011899999999999994	0.0026166666666666634	
