	0	1200	2400	3600	4800	6000	7200	8400	9600	10800	12000	13200	14400	15600	16800	18000	19200	20400	21600	22800	24000
B10	0.13826666666666668	0.18409999999999996	0.21106666666666665	0.2258666666666667	0.28323333333333334	0.35253333333333337	0.5786666666666667	1.1050666666666669	1.2876333333333334	0.7887	0.5867	0.44656666666666667	0.46586666666666665	0.4426333333333334	0.49470000000000003	0.5553	0.6048666666666667	0.6642666666666667	0.7210666666666666	0.7591666666666667	0.8057666666666667
B11	0.14646666666666666	0.14519999999999997	0.14996666666666666	0.17966666666666667	0.21763333333333335	0.29523333333333335	0.6516666666666666	1.0758666666666667	0.8243333333333334	0.4497	0.4637	0.35276666666666656	0.3665666666666667	0.3656333333333333	0.43279999999999996	0.48640000000000005	0.5370666666666667	0.5747666666666668	0.6447666666666667	0.6764666666666667	0.7217666666666668
B12	0.04856666666666665	0.011699999999999988	0.01156666666666667	0.0017666666666666664	0.0038333333333333552	0.0008333333333333526	0.005666666666666653	0.011766666666666675	0.005933333333333346	0.011999999999999983	0.010999999999999982	0.006966666666666649	0.0033666666666666845	0.002533333333333332	0.005999999999999978	0.006400000000000017	0.003866666666666685	0.008366666666666689	0.00686666666666666	0.004266666666666669	0.003766666666666696
C01	0.014433333333333326	0.0015666666666666607	-0.007566666666666666	-0.007500000000000007	-0.006033333333333335	-0.009799999999999975	-0.005066666666666664	-0.0038333333333333552	-0.004033333333333333	-0.00786666666666666	-0.006000000000000005	-0.001066666666666688	-0.0024666666666666726	-0.0021999999999999797	-0.003799999999999998	-0.004733333333333339	-0.003333333333333327	-0.004333333333333328	-0.002799999999999969	-0.004366666666666685	-0.002533333333333332
C02	0.17373333333333335	0.14196666666666666	0.14353333333333332	0.163	0.20206666666666667	0.2511	0.36913333333333337	0.7396666666666666	1.2177666666666667	1.2438333333333333	0.7917000000000001	0.4522333333333334	0.40003333333333335	0.43279999999999996	0.4657	0.5088666666666667	0.5666666666666667	0.6445666666666666	0.7138000000000001	0.7534333333333333	0.8327666666666667
C03	0.1554333333333333	0.15536666666666668	0.16513333333333333	0.19119999999999995	0.22436666666666666	0.3358	0.5805333333333333	1.0551666666666668	1.2359666666666667	1.0508333333333333	0.4252	0.3965333333333334	0.40003333333333335	0.4266	0.4669	0.5256666666666666	0.5875666666666667	0.6096666666666666	0.6889000000000001	0.7452333333333333	0.7949666666666667
C04	0.1670333333333333	0.16356666666666667	0.17446666666666663	0.19206666666666666	0.21793333333333334	0.28226666666666667	0.4037666666666667	0.6462333333333333	1.1586	1.1656666666666669	0.7216	0.42636666666666667	0.4031666666666667	0.4473666666666667	0.5061666666666667	0.5459999999999999	0.5984	0.6662666666666667	0.7326666666666667	0.7711	0.8532666666666666
C05	0.1904333333333333	0.15336666666666668	0.163	0.18683333333333332	0.22310000000000002	0.2811	0.4068333333333334	0.6272333333333333	1.1856666666666666	1.2405333333333335	0.7970666666666667	0.4262333333333333	0.4023	0.4443999999999999	0.48473333333333335	0.5130333333333333	0.5802666666666667	0.6276333333333334	0.6975	0.7251	0.8047666666666666
C06	0.19803333333333334	0.20126666666666668	0.20569999999999997	0.19213333333333335	0.1926	0.21059999999999998	0.24733333333333332	0.33163333333333334	0.7296666666666666	1.2103333333333335	1.2654666666666667	0.5158333333333334	0.3702000000000001	0.39969999999999994	0.4401333333333334	0.4942333333333333	0.5632666666666667	0.6217333333333334	0.6731999999999999	0.7471	0.8021666666666666
C07	-0.00016666666666667607	-0.02053333333333332	-0.02250000000000002	-0.014566666666666672	-0.02209999999999998	-0.008600000000000024	-0.008766666666666645	-0.014966666666666656	-0.018133333333333335	-0.01626666666666665	-0.012033333333333368	-0.018766666666666654	-0.013899999999999996	-0.01720000000000002	-0.015966666666666685	-0.01736666666666664	-0.013433333333333325	-0.008866666666666662	-0.01040000000000002	-0.009399999999999992	-0.010533333333333339
