Molecule List Name	Molecule Name	Molecule Formula	Precursor Ion Formula	Precursor Neutral Formula	Precursor Adduct	Replicate Name	Precursor Mz	Precursor Charge	Total Ion Current Area	Median Peak Area	Total Area	Total Area MS1	Total Background	Total Background MS1	Total Area Ratio	Ratio Dot Product	Total Area Normalized	Max Height	Count Truncated	Collisional Cross Section	Ion Mobility MS1	Ion Mobility Units	Total Area	Normalized Area	Area	Background	Area	Sample Id	Height	Max Height	Explicit Retention Time	Explicit Retention Time Window	Product Mz	Product Charge	Product Ion Formula	Product Neutral Formula	Product Adduct	Molecule List Abundance
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00050-Positive-MAT1_demultiplexed	175.086589	1	1777730.375	1	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	137.4	21.46	Drift Time (ms)	12+/-28	#N/A	#N/A	#N/A	12+/-28		#N/A	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00051-Positive-MAT1_demultiplexed	175.086589	1	1664883.5	1	17	17	0	0	#N/A	#N/A	∞	19	0	137.4	21.46	Drift Time (ms)	12+/-28	1.6948E+1	17	0	12+/-28		19	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00052-Positive-MAT2_demultiplexed	175.086589	1	1597855	1	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	137.4	21.46	Drift Time (ms)	12+/-28	#N/A	#N/A	#N/A	12+/-28		#N/A	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00053-Positive-B1_demultiplexed	175.086589	1	1861591.375	1	0	0	0	0	#N/A	#N/A	0%	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00054-Positive-G11_demultiplexed	175.086589	1	2796938.25	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00055-Positive-B3_demultiplexed	175.086589	1	2895338	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00056-Positive-F7_demultiplexed	175.086589	1	2937241.75	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00057-Positive-G6_demultiplexed	175.086589	1	2939718	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00058-Positive-H2_demultiplexed	175.086589	1	2794751	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00059-Positive-MAT2_demultiplexed	175.086589	1	3004537.5	1	0	0	0	0	#N/A	#N/A	0%	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00060-Positive-MAT1_demultiplexed	175.086589	1	2260534.75	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
