Group1	Group2	Feature	U_stat	p_raw	Median1	Median2	p_corrected	Significant
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	L-Glutamine [[M+H]]	16.0	0.6216006216006216	23.588055672550116	54.68128380258601	0.8702408702408702	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	L-Phenylalanine [[M-H2O+H]]	4.0	0.018648018648018648	35.838632611489466	227.414674556213	0.11063576945929887	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	L-Valine [[M+H]]	8.0	0.09324009324009325	1082.8405291619392	1853.905833537676	0.28471380471380475	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Maltose [[M+Na]]	19.0	0.9432789432789432	2204.3981538797852	2219.0	0.9880846197827328	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	37.0	0.010878010878010878	590.554750390442	179.817298658504	0.08026208026208027	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	N2-Acetyl-L-ornithine [[M+H]]	20.0	1.0	27.867401288648747	31.35383059899394	1.0	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Niacin [[M+H]]	30.0	0.17094017094017094	193.0644638770313	120.27242603550296	0.42042042042042044	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Nicotinamide [[M+H]]	10.0	0.17094017094017094	839.8034713108707	1280.2385215293846	0.42042042042042044	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	O-acetyl-L-serine [[M+H]]	7.0	0.06526806526806528	228.49867583131396	581.4042603550296	0.2146768893756846	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Pidolic Acid [[M+H]]	13.0	0.3543123543123543	6551.848198685627	9350.499530242208	0.6322043969102792	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Proline [[M+NH4]]	21.0	0.9432789432789432	20.652321814401237	12.452528463231625	0.9880846197827328	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Spermine [[M+H]]	20.0	1.0	100278.66418556045	106988.54118241536	1.0	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Sucrose [[M+Na]]	18.0	0.8329448329448329	2157.3926837235676	2245.9105608893383	0.9592969696969695	False
